0.004,1.1355968,0.24274826,0.6064019,0.006,0.03184683,0.82861996,-0.06803686
41.111,0.7232349,-1.5801306,-0.7369642,41.112,-0.32599318,0.73915994,0.5283631
41.121,1.2262425,-2.2302542,-0.107079744,41.122,-0.13322817,0.6326599,0.5166481
41.132,1.5702255,-2.6066098,0.34008765,41.131,0.12450183,0.53148496,0.43570814
41.144,1.5828168,-2.4276814,0.6020434,41.144,0.38755682,0.49101493,0.31749314
41.151,1.4193308,-1.7302604,0.56333995,41.151,0.5771268,0.51124996,0.21312313
41.162,1.2751695,-0.74991894,0.37798834,41.162,0.6357018,0.53148496,0.16306813
41.172,1.037164,0.30730915,0.17489171,41.172,0.5664768,0.50698996,0.17584814
41.183,0.6437824,1.1877832,-0.0014836788,41.182,0.40672684,0.44308993,0.23335813
41.193,0.12358627,1.8405514,-0.09315133,41.193,0.19266184,0.36001992,0.32281816
41.204,-0.27432787,1.9938517,-0.2681651,41.203,-0.03950817,0.29398993,0.40056315
