0.008,0.13954163,-0.7818074,0.94285536,0.003,-0.42158255,-0.31336775,-0.12804957
9.32,4.1593485,1.5765233,-5.358095,9.313,0.092766,0.25412604,-1.3528343
9.328,1.8091173,0.16928749,-6.5074267,9.323,0.08238129,0.31276911,-1.2691458
9.338,0.2178278,-1.0308592,-6.449858,9.333,-0.025130995,0.07636427,-1.0290759
9.348,-0.7952986,-2.6824057,-3.3259244,9.343,-0.29330084,-0.1612623,-0.7602951
9.358,-0.8300352,-4.213564,0.23026597,9.353,-0.44113022,-0.085515015,-0.46036026
9.368,0.105882645,-5.4311476,0.9514508,9.363,-0.36232862,0.042766683,-0.17447533
9.378,1.0426493,-5.901467,0.4497125,9.373,-0.2957443,0.053762257,0.025888471
9.388,1.4299545,-5.0462055,0.09088671,9.383,-0.25420547,0.012834288,0.17066354
9.398,1.4045773,-3.377161,-0.21002805,9.393,-0.19067548,-0.085515015,0.2977235
9.408,1.2798576,-1.6007515,0.18470359,9.403,-0.15035836,-0.16248403,0.40890098
