0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
15.063,0.8685379,0.48631978,0.838665,15.052,-0.98826826,-0.050633304,0.15100443
15.072,1.2240543,0.026057687,1.217896,15.062,-1.0063777,-0.2551639,0.08708862
15.083,1.6772232,-0.34642252,1.4129794,15.073,-1.0031818,-0.3371892,0.022107547
15.094,2.238904,-0.19124363,0.66608214,15.082,-1.0106387,-0.28818706,-0.03754721
15.103,2.7359076,0.10657942,-1.2089887,15.093,-1.1075777,-0.11881017,-0.081223
15.113,3.4286404,-0.27752295,-2.9072156,15.104,-1.2993251,0.07506779,-0.11744197
15.122,5.025304,-0.78904355,-2.4677534,15.112,-1.4772241,0.07506779,-0.24527359
15.133,5.663397,-0.7041442,-1.2311264,15.123,-1.464441,-0.37553868,-0.58509266
15.145,3.8993883,0.0015292913,-1.7125983,15.133,-1.2364745,-0.930541,-0.96432644
15.152,1.7895136,1.0034137,-2.6652966,15.144,-1.0244871,-1.0445242,-1.1006802
