0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
4.549,3.5961828,-0.96020615,-3.8920588,4.537,0.0045573306,-1.7571855,-0.92278117
4.559,2.449957,-1.1298246,-4.3628798,4.548,0.10149632,-0.94438946,-0.8684527
4.569,0.7475214,-1.5045283,-3.828904,4.561,0.08019104,-0.085787,-0.7438169
4.579,-0.55191135,-1.9663461,-2.516318,4.57,0.09510473,0.5959816,-0.5456779
4.591,-1.2415276,-2.5383945,-1.1624929,4.579,0.29324374,1.001847,-0.3283642
4.6,-1.4806032,-3.4119518,-0.26273423,4.59,0.7140228,1.1243522,-0.10039775
4.608,-1.4462099,-4.430999,-0.28091076,4.599,1.2541115,1.0529797,0.15313497
4.619,-1.1938915,-5.386038,-0.79951155,4.609,1.7153705,0.945388,0.40560237
4.629,-0.3919077,-6.0498505,-1.2111115,4.618,1.9358801,0.85484064,0.65061307
4.639,0.6149521,-5.8762155,-2.088036,4.63,1.882617,0.73446584,0.8775142
