0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
6.368,-2.0206738,1.8031752,1.0907913,6.359,0.41255325,-0.55982935,-0.28468838
6.38,-1.5098381,1.5417714,1.2700267,6.369,0.41042274,-0.59924406,-0.18987988
6.389,-0.66398144,1.0538917,1.7284298,6.379,0.41255325,-0.5001745,-0.045004055
6.401,0.22912693,0.43821836,2.5180998,6.39,0.45196798,-0.32653654,0.07643599
6.411,0.9903126,-0.23389822,2.877846,6.402,0.5478417,-0.14650702,0.14141707
6.421,1.4241133,-0.43048137,2.8586226,6.41,0.6618249,0.037783567,0.17124444
6.429,1.6342602,-0.1771222,2.6550474,6.419,0.74171966,0.16881098,0.19787604
6.439,1.6239843,-0.032753438,2.0711827,6.43,0.76515543,0.20183414,0.21492024
6.449,1.2171564,-0.051507443,1.2506427,6.438,0.7534375,0.21568258,0.21385498
6.461,1.3778982,0.38050443,0.9392426,6.45,0.7012396,0.21568258,0.19254972
