0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
12.131,0.122143745,0.69608724,0.55668604,12.122,-0.6846682,0.055893045,-0.09720196
12.14,0.53601265,0.1729433,1.4499918,12.132,-0.6143608,-0.24877232,-0.033286158
12.153,1.5833483,-0.84288067,2.3359869,12.139,-0.50144285,-0.518284,0.11904653
12.162,2.5188808,-1.5870986,2.913155,12.152,-0.3746765,-0.5960483,0.32144657
12.17,2.8115911,-2.0315864,3.2554882,12.161,-0.24471432,-0.37234288,0.5121288
12.181,2.4741926,-2.287721,3.2941747,12.171,-0.13286166,-0.011218555,0.6633962
12.191,2.1184254,-2.8537176,2.590016,12.179,-0.066815324,0.24124889,0.79016256
12.2,2.4002705,-3.1768591,-0.26650184,12.192,-0.058293216,0.26681522,0.9073415
12.212,2.6207132,-1.893098,-3.5747685,12.199,-0.13392693,0.14963624,0.9137331
12.222,2.98847,-0.399736,-5.161651,12.211,-0.15310167,-0.11667964,0.93929946
