0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
6.571,3.8521633,-1.1759356,-2.8483522,6.561,-0.42793965,-1.1435937,-1.1539434
6.58,1.7188492,-1.1463344,-3.466444,6.572,-0.295847,-0.58113456,-1.1614003
6.59,-0.68385506,-1.6029346,-3.083543,6.581,-0.2543017,0.07400253,-1.018655
6.6,-2.9132223,-2.1306813,-2.3862975,6.59,-0.18079852,0.6013079,-0.76192635
6.611,-4.3859034,-2.2041106,-1.121228,6.599,0.0077531207,0.9400617,-0.44341263
6.621,-4.9347486,-2.0376868,0.6289109,6.612,0.39231324,0.9421922,-0.06843985
6.63,-4.2015543,-2.2290704,0.91344166,6.622,0.9409239,0.51715213,0.32996866
6.64,-3.0525675,-2.9301229,-0.57130176,6.631,1.4799473,0.022869876,0.6069372
6.652,-2.396247,-3.4668074,-2.378727,6.641,1.8027222,-0.20403126,0.75394356
6.663,-1.1307955,-4.1258855,-3.22549,6.653,1.8389411,-0.14757228,0.8711226
