0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
4.447,2.107851,1.9389465,1.6342671,4.438,0.46155536,0.25403205,0.14461285
4.458,2.6734762,3.2710085,1.9270627,4.447,0.30496165,-0.06661226,0.017846493
4.468,3.1090136,4.391666,2.0088995,4.457,0.13451949,-0.41921446,-0.18455358
4.484,2.9782019,5.1205125,2.2359185,4.469,-0.05616269,-0.6951178,-0.40399787
4.488,3.5996218,6.0053034,0.9997147,4.483,-0.22447433,-0.77501255,-0.5755053
4.498,4.5225525,6.0188656,-2.937546,4.489,-0.38426384,-0.7206841,-0.7374253
4.509,4.345723,3.7976086,-6.1927557,4.499,-0.49079022,-0.5427851,-0.8375601
4.519,5.0637064,1.405174,-4.724554,4.51,-0.5536408,-0.5608946,-0.7832317
4.529,5.407655,-0.14652199,-1.4103627,4.518,-0.5152913,-1.2021832,-0.7949496
4.538,4.5743,-0.7050314,-1.716047,4.53,-0.26815015,-1.9073876,-0.8950843
