0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
7.177,2.295351,2.9044118,0.7569723,7.167,-1.2194303,0.15602781,-0.5414169
7.188,1.8052502,0.78329206,1.3179281,7.178,-0.97548515,0.1357878,-0.72890323
7.197,0.6186724,-0.77686405,2.1578388,7.187,-0.75071454,0.08145937,-0.88443166
7.208,-0.3920517,-2.0839503,2.2716224,7.198,-0.56429344,-0.08365647,-0.95580435
7.218,-1.1766882,-3.1333246,1.6317672,7.207,-0.43113548,-0.19870493,-0.97604436
7.229,-1.9010944,-3.9018462,0.9266078,7.217,-0.38639438,-0.2658165,-0.9611307
7.236,-2.3261309,-4.3466873,0.51131994,7.228,-0.3917207,-0.33186287,-0.91958535
7.249,-2.5148335,-4.746613,0.1991317,7.237,-0.37574175,-0.37979972,-0.88443166
7.258,-2.8287916,-4.8728986,0.04077077,7.247,-0.32354385,-0.38299552,-0.8854969
7.27,-3.1484098,-4.7958264,-0.03558168,7.259,-0.25643227,-0.3659513,-0.9131938
