0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
1.821,0.40318584,-1.3502223,2.890346,1.809,-0.44072285,0.5555016,-0.17709672
1.832,0.49178314,-0.7803699,2.7565112,1.82,-0.3512407,0.59491634,-0.17603147
1.838,0.7184181,-0.015862137,2.5309308,1.831,-0.3501754,0.5405879,-0.178162
1.851,0.97240067,0.6828282,2.3377364,1.839,-0.4098302,0.39145106,-0.17922725
1.861,1.0792322,1.3344696,1.5926261,1.85,-0.4567018,0.1709415,-0.1866841
1.872,0.8585081,1.9022093,0.91609573,1.86,-0.48120284,-0.0303933,-0.2069241
1.88,0.69101334,2.107786,1.0594392,1.871,-0.47587654,-0.16994281,-0.22503358
1.892,1.0339746,1.2610899,1.8457142,1.881,-0.4066344,-0.34890708,-0.20159778
1.901,2.0086756,-0.40582907,2.4162998,1.893,-0.28625962,-0.60350513,-0.10039775
1.913,3.0070915,-1.5737579,2.8648186,1.901,-0.1871901,-0.80164415,0.07004441
