0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
5.661,-0.4274025,-3.2830381,-0.8263559,5.652,1.4991221,0.22526996,1.2152026
5.672,0.44990826,-1.6388464,-0.9220512,5.662,1.2743515,-0.095374376,1.3238595
5.681,0.9561138,0.43833357,-0.9956024,5.671,0.98353446,-0.5172188,1.301489
5.692,1.2366056,2.3806243,-1.0820744,5.682,0.69697857,-0.83892834,1.1523521
5.703,1.109479,4.121163,-0.99069107,5.691,0.46262065,-0.89964837,0.92971206
5.712,0.42486668,5.4787793,-0.70837533,5.702,0.30389637,-0.6674209,0.72731197
5.722,-0.7568617,6.3826313,-0.4928493,5.713,0.20482688,-0.21787967,0.62291616
5.732,-2.151826,6.6787825,-0.4336608,5.722,0.120671056,0.29557735,0.64315623
5.74,-3.276351,6.2531943,-0.43904746,5.731,0.021601547,0.73020476,0.75607413
5.752,-4.11977,5.2777553,-0.3869539,5.741,-0.07853322,1.017826,0.8956236
