0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
2.325,-0.55992603,0.69559187,1.1897584,2.315,0.1547595,-0.03785014,-0.2133157
2.336,-0.14167976,0.9226297,1.7438229,2.326,0.2303932,0.18052888,-0.14087777
2.345,0.39344978,0.7833538,2.289764,2.335,0.32733214,0.39784265,-0.07057037
2.356,0.9570122,0.39090157,2.944477,2.344,0.44877222,0.52034783,-0.004524041
2.366,1.3056889,0.17569578,3.3086226,2.355,0.5819301,0.4947816,0.06365283
2.376,1.6213913,0.29194427,3.0632606,2.367,0.67673856,0.37440684,0.15633075
2.385,2.2044945,0.5342128,2.3802252,2.377,0.6991091,0.2614889,0.26924863
2.397,2.749011,0.90077853,2.0533214,2.384,0.67673856,0.19331203,0.34807816
2.405,2.838088,1.2711704,2.0463164,2.396,0.65223753,0.15176676,0.35446975
2.418,2.819932,1.7499397,2.1554499,2.404,0.6064312,0.0835899,0.2969455
