0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
14.657,-2.9279814,2.860242,-2.6406465,14.647,-0.8604367,0.44684476,0.17976655
14.668,-2.3522148,3.560406,-2.065109,14.658,-0.87961143,0.31901312,0.046608604
14.677,-1.344204,4.081476,-1.6037402,14.667,-0.85084933,0.12193939,-0.1078546
14.688,-0.49975872,4.459134,-1.3385057,14.678,-0.7943903,-0.16781229,-0.26764414
14.697,0.24955273,4.4180107,-1.3549981,14.689,-0.7603019,-0.4799345,-0.36032206
14.709,0.99585724,3.6922865,-1.46203,14.698,-0.80397767,-0.70363986,-0.36671367
14.719,1.8563652,2.4209592,-0.9643661,14.707,-0.9009167,-0.77075154,-0.33262524
14.728,2.779333,1.0118145,0.21010864,14.72,-0.92009145,-0.6684862,-0.34860417
14.738,2.9241552,-0.36525208,1.0922256,14.729,-0.78799874,-0.43412817,-0.44980422
14.749,2.153819,-1.4186885,1.0206199,14.737,-0.6164914,-0.15183334,-0.5318295
