0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
9.2,0.32171154,2.6740208,-1.0607016,9.188,-1.1437967,-0.2349239,-0.9430212
9.21,0.6875553,2.1701183,-0.1690387,9.199,-0.982942,-0.29670918,-1.1582046
9.218,0.8596144,1.053578,0.60192597,9.209,-0.7741504,-0.3425155,-1.2540781
9.23,0.61974716,-0.30871212,1.4420587,9.219,-0.5483145,-0.39258286,-1.2562087
9.238,0.17996216,-1.6686764,2.0568025,9.229,-0.29478174,-0.45862922,-1.1752487
9.25,-0.31825638,-3.0483038,1.8448412,9.239,-0.06468479,-0.5193493,-1.0516782
9.259,-0.8465948,-4.2175293,1.4773664,9.249,0.04610261,-0.49804395,-0.92065066
9.27,-1.2223139,-4.83014,1.4392782,9.261,0.065277345,-0.38512605,-0.80453694
9.282,-1.515562,-4.6879296,1.1936779,9.269,0.07379946,-0.2658165,-0.7502085
9.29,-2.0520573,-3.913238,0.7019697,9.281,0.08871315,-0.15396386,-0.76299167
