0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
13.951,5.249775,-0.9158768,-3.597604,13.938,-0.18079852,-0.04743751,-0.64048636
13.961,4.7762375,-1.2302873,-4.5865617,13.95,-0.11475218,-0.6567683,-0.96219593
13.971,3.2510033,-0.42947263,-4.8915453,13.96,-0.10303428,-0.90817046,-1.1741834
13.98,1.8283081,0.28481436,-4.601878,13.97,-0.15629746,-0.67274725,-1.1645961
13.991,0.4272356,0.35632336,-4.3191013,13.979,-0.22021328,-0.18592177,-1.0303729
14.001,-1.0713854,0.07267392,-4.003746,13.99,-0.24897538,0.27853313,-0.89401907
14.01,-2.381424,-0.3634435,-3.5709724,14.0,-0.20316905,0.6407227,-0.8034717
14.021,-3.604207,-0.5657518,-3.1524515,14.011,-0.08385953,0.8676238,-0.73422956
14.03,-4.5094643,-0.60186213,-2.7783031,14.02,0.05568998,0.9166259,-0.6159853
14.039,-5.1578655,-0.6886729,-2.5416317,14.031,0.16967317,0.7909248,-0.4093242
