0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
8.189,1.1420679,1.0975673,1.0956241,8.178,-0.5653587,-0.31801444,-1.3126676
8.199,0.7595768,0.521997,2.4035294,8.188,-0.3448491,-0.35210288,-1.4213245
8.213,0.46143055,-0.3491215,2.5966995,8.201,-0.09025112,-0.34464604,-1.4128025
8.22,-0.12743855,-1.1396916,1.8978257,8.214,0.07486472,-0.34890708,-1.3190593
8.229,-0.7148609,-1.9040172,1.412075,8.219,0.11641,-0.3627555,-1.1539434
8.237,-1.1057949,-2.5372643,1.1144643,8.229,0.10149632,-0.31801444,-0.9813706
8.247,-1.404254,-2.8647473,0.7264619,8.236,0.08125631,-0.2402502,-0.85140854
8.258,-1.6538506,-2.9261258,0.41070294,8.248,0.08338683,-0.1731386,-0.77790534
8.269,-1.9743223,-2.7799542,-0.047916055,8.259,0.1281279,-0.11028806,-0.76192635
8.279,-2.3870306,-2.453809,-0.5164136,8.27,0.20589213,-0.045306984,-0.78003585
