0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
8.491,2.8137522,0.83403736,1.6440785,8.481,0.6884565,0.18798573,0.26072654
8.502,3.678834,0.97088444,1.7908092,8.491,0.5648859,-0.16674703,0.12756863
8.511,4.561654,1.5468197,1.8366332,8.501,0.36035532,-0.57261246,-0.08974512
8.523,4.6881638,2.3368278,2.0504868,8.512,0.12599738,-0.8421241,-0.34647363
8.531,4.452941,2.8895218,1.8537666,8.522,-0.047640584,-0.8144273,-0.5222421
8.541,5.3271313,4.308883,-0.60466915,8.536,-0.22447433,-0.58646095,-0.6255727
8.552,5.3339567,4.299968,-4.9767084,8.541,-0.49185547,-0.32866707,-0.73422956
8.562,4.511487,2.4837036,-6.784305,8.551,-0.71769136,0.07400253,-0.6990759
8.572,5.6879425,0.77551097,-3.548364,8.561,-0.77308506,0.06761095,-0.56485265
8.582,5.906563,-0.06795055,-1.6432836,8.573,-0.57814187,-0.7643599,-0.6980106
