0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
13.038,-3.372632,-2.3553748,-0.4144179,13.029,-0.5760113,0.12087412,0.7262467
13.052,-3.0458584,-2.8546114,-0.02612667,13.039,-0.5589671,-0.19231334,0.6261119
13.06,-2.549985,-2.9761908,0.29555562,13.051,-0.5184871,-0.37447342,0.51852036
13.071,-2.0097227,-2.7971172,0.69713503,13.061,-0.49611652,-0.44051972,0.41518974
13.081,-1.516058,-2.3397517,1.1066018,13.07,-0.48759443,-0.43199763,0.335295
13.091,-0.94230366,-1.8525617,1.287635,13.082,-0.5003776,-0.37660393,0.28735813
13.1,-0.3963375,-1.42144,1.3667128,13.092,-0.5408576,-0.28818706,0.24155183
13.117,0.06434822,-1.1598729,1.4727496,13.101,-0.59092504,-0.17100808,0.18189707
13.121,0.26060677,-1.0226568,1.4677259,13.115,-0.6186218,-0.03678488,0.11478548
13.133,0.22413063,-0.9400603,1.3304851,13.122,-0.6196871,0.0953078,0.04767387
