0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
0.607,-0.746315,-0.8545736,1.089215,0.597,-0.4268744,-0.6684862,0.3033371
0.618,-0.05568123,-0.69250214,1.1039257,0.606,-0.4300702,-0.635463,0.22237709
0.627,0.4734621,-0.64341855,1.0914639,0.617,-0.41089544,-0.5406546,0.14674337
0.636,0.79181576,-0.670234,1.1444166,0.626,-0.3746765,-0.38299552,0.08602336
0.646,0.87192917,-0.81151813,1.308955,0.641,-0.3096954,-0.17100808,0.045543343
0.661,0.7740059,-1.0501965,1.4449056,0.646,-0.23299643,0.03458778,0.018911758
0.667,0.5078335,-1.5240375,1.605684,0.659,-0.1637543,0.20076889,0.016781231
0.676,0.24823666,-1.8864315,1.7470284,0.667,-0.10303428,0.33392683,0.027433867
0.687,-0.10401535,-1.8153387,1.8801169,0.677,-0.06468479,0.40636477,0.03915176
0.697,-0.39433098,-1.6384513,1.8999238,0.686,-0.055097427,0.38612473,0.07537073
