0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
5.965,3.3439198,-0.91421294,2.0678358,5.954,-0.0071605677,-0.15396386,0.023172813
5.975,3.6372328,-2.1418343,2.7132533,5.964,0.15582475,-0.22853231,0.20000656
5.985,3.8630753,-3.0634649,3.4495158,5.976,0.25489423,-0.19763967,0.41305923
5.996,3.923584,-4.1107125,3.3835413,5.984,0.36887744,-0.053829096,0.5930888
6.004,4.1039276,-4.817229,0.57814103,5.995,0.5446459,0.05056673,0.7486173
6.017,4.2156477,-3.4871345,-3.40308,6.003,0.6288017,0.043109886,0.88284045
6.026,4.567375,-0.64929104,-5.2936344,6.016,0.62773645,-0.006957502,0.96486574
6.035,4.64476,0.8766908,-4.608473,6.025,0.6288017,-0.15929018,0.9616699
6.045,3.6368227,1.1158319,-4.0204744,6.035,0.58086485,-0.48206502,0.986171
6.056,2.5646744,1.5992455,-4.815373,6.046,0.39231324,-0.5694167,1.1235899
