0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
0.91,1.8466024,-1.3614721,-3.6031046,0.9,0.30709216,-0.73985887,-0.083353534
0.921,1.5556774,-0.60968435,-3.5859559,0.911,0.3081574,-1.124419,0.017846493
0.931,0.9904585,-0.13016212,-3.8315392,0.92,0.29963532,-1.2277496,0.121177055
0.94,-0.07260895,0.092380226,-3.8317745,0.93,0.3177448,-0.8826042,0.22983395
0.949,-0.7897301,0.22149068,-3.9799566,0.939,0.39977008,-0.26155546,0.4087982
0.961,-0.6630821,0.40146577,-4.4298415,0.95,0.472208,0.3690805,0.5835014
0.97,-0.5338764,0.6879575,-4.7689085,0.962,0.43918484,0.7802722,0.6420909
0.982,-0.76362896,1.3292339,-4.873684,0.971,0.29324374,0.97095436,0.58989304
0.991,-0.86544037,1.9663668,-4.4059067,0.981,0.06953841,1.0284786,0.46419188
1.001,-0.48454666,2.6050491,-3.2889004,0.99,-0.15203641,0.9176912,0.24900869
