0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
1.113,-1.2236338,-2.3256278,-0.28419363,1.103,0.08871315,-0.19018282,-0.5755053
1.123,-1.4958305,-1.9927789,-0.37457678,1.113,0.10149632,-0.21468389,-0.46897897
1.132,-1.5899286,-1.5144808,-0.56303054,1.122,0.12173632,-0.27220812,-0.3837579
1.142,-1.5906115,-0.95791143,-0.6804274,1.133,0.13558474,-0.35103762,-0.31771153
1.153,-1.5461035,-0.3404013,-0.64977926,1.141,0.14623739,-0.42241028,-0.2772315
1.163,-1.399704,0.38004127,-0.4456611,1.154,0.16647738,-0.42667133,-0.26444834
1.172,-1.4348869,1.1276579,-0.3884106,1.162,0.15795527,-0.4245408,-0.26551363
1.181,-1.5266294,1.6028816,-0.17052862,1.173,0.110018425,-0.39684394,-0.26764414
1.193,-1.6365414,1.7813545,0.08176206,1.18,0.061016295,-0.33079758,-0.275101
1.201,-1.8952179,1.6763835,0.23102762,1.193,0.021601547,-0.24664178,-0.29321048
