0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
5.762,-4.616166,3.4324734,-0.58959794,5.751,-0.17227641,1.1254176,0.99575835
5.773,-4.7601843,1.3179541,-0.92227185,5.763,-0.25643227,1.0913292,0.98297524
5.782,-4.958577,-0.39718157,-1.0907983,5.771,-0.35763225,0.9112996,0.9084068
5.793,-4.9606743,-2.1274283,-1.2070245,5.781,-0.5152913,0.63433105,0.8274468
5.8,-4.7727413,-3.7723467,-0.70551056,5.792,-0.6559061,0.42127842,0.6836362
5.813,-4.1996794,-5.334187,0.31039608,5.801,-0.7411272,0.209291,0.48762769
5.822,-3.3789682,-5.837228,1.27057,5.812,-0.77947664,-0.095374376,0.26392236
5.833,-2.598096,-5.079837,1.6553987,5.823,-0.8071735,-0.4245408,0.057261243
5.842,-1.8378363,-4.082307,1.7277169,5.832,-0.8476535,-0.6120272,-0.10359354
5.854,-1.1557169,-3.3210447,1.746814,5.843,-0.89559036,-0.61735356,-0.20479357
