0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
9.098,4.7909546,0.9957757,-6.002595,9.089,0.21654476,-0.9273452,1.357948
9.109,4.57485,1.7467698,-5.3735995,9.097,0.0045573306,-0.6620946,1.4325165
9.119,3.6917048,1.6666023,-4.814579,9.107,-0.14564483,-0.14011544,1.3909712
9.129,2.1841402,1.4238443,-4.659137,9.118,-0.10303428,0.47880265,1.2631395
9.137,0.94291687,1.4269183,-4.9768934,9.128,-0.033792157,0.98586804,1.1044153
9.147,-0.11768532,1.8400407,-5.3772492,9.136,-0.14457956,1.2447271,0.90094995
9.158,-0.5442867,2.0838866,-4.985031,9.147,-0.48652914,1.2159649,0.6282425
9.168,-0.4929943,1.9854629,-3.5666974,9.159,-0.89772093,0.888929,0.26285708
9.179,-0.23197746,2.055465,-2.2800438,9.168,-1.1544492,0.40103844,-0.17070514
9.189,0.0039663315,2.489689,-1.7386149,9.178,-1.214104,-0.026132245,-0.60000634
