0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
12.836,-4.2991276,-1.5561533,-2.0446005,12.829,-0.010356358,0.8516449,-0.42317262
12.848,-4.264041,-1.9687989,-1.6213051,12.837,0.19950055,0.76535845,-0.21757674
12.859,-3.7642536,-2.1133215,-1.6524217,12.847,0.4434459,0.44151846,0.06471809
12.869,-2.9715986,-2.2872748,-2.1264741,12.86,0.6266712,0.1070257,0.3842971
12.878,-1.7246437,-2.4723535,-2.1349692,12.868,0.7246754,0.032457247,0.6538088
12.889,-0.38535595,-2.5726986,-1.999784,12.879,0.76515543,0.10063411,0.85407835
12.901,0.9003029,-2.324523,-1.9200557,12.89,0.72147965,0.16454992,0.9733879
12.911,2.1046686,-1.6753073,-1.6103327,12.902,0.5819301,0.16028887,1.0074762
12.919,2.8326569,-0.79335743,-1.1515036,12.912,0.37846482,0.04630568,0.945691
12.928,2.7917452,0.4573328,-0.2430023,12.918,0.19310898,-0.060220674,0.81359833
