0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
8.796,-3.022871,4.256735,-0.4139672,8.783,-0.048705846,0.97095436,0.75181305
8.803,-3.753727,2.5496478,-0.79599845,8.795,-0.13499218,1.2532492,0.844491
8.815,-4.3307896,0.8541991,-0.93749774,8.804,-0.2574975,1.3682977,0.9020152
8.825,-4.7291927,-0.62544394,-0.8160846,8.816,-0.38213333,1.3224913,0.8934931
8.836,-5.0854683,-1.9446537,-0.50707877,8.826,-0.46096283,1.1872028,0.8327731
8.849,-5.2568502,-3.0285172,0.025395617,8.835,-0.47800705,0.9997164,0.73370355
8.855,-5.0939465,-3.9113405,0.74710166,8.848,-0.44924495,0.73979217,0.6069372
8.867,-4.5171013,-4.5562177,1.5624872,8.856,-0.41302598,0.37440684,0.44821295
8.875,-3.7143593,-4.746487,2.2158878,8.866,-0.39598176,-0.06874278,0.2649876
8.887,-2.7271214,-4.481545,2.4225547,8.876,-0.41728702,-0.45543343,0.07643599
