0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
0.707,-0.45128536,-1.5104553,1.5867555,0.697,-0.04977111,0.31155628,0.13715601
0.719,-0.42689323,-1.2140949,1.1296512,0.708,-0.0071605677,0.28172892,0.19148445
0.728,-0.42612457,-0.6551155,0.70652324,0.718,0.07592999,0.31155628,0.21811604
0.738,-0.3776989,0.009684145,0.38216186,0.729,0.15049843,0.37440684,0.22131182
0.749,-0.2681589,0.6061366,0.3375603,0.737,0.15369423,0.41169104,0.21705078
0.758,0.0031785965,1.0165923,0.60387254,0.747,0.0727342,0.38505945,0.22770342
0.771,0.609272,1.3781567,0.9572011,0.759,-0.041249,0.33605736,0.25859603
0.779,1.5484953,1.4643345,1.513226,0.77,-0.15842798,0.30409944,0.28629285
0.788,2.6674156,1.114212,2.2057548,0.781,-0.26708487,0.2210089,0.27564025
0.799,3.548956,0.50378245,2.6294246,0.789,-0.33739227,0.029261459,0.1957455
