0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
4.955,1.7971916,0.12551802,0.9057572,4.941,-0.59092504,-0.4501071,-0.29960206
4.965,1.8387012,0.022461101,1.7365303,4.954,-0.4236786,-0.5694167,-0.3102547
4.974,2.561596,-0.7204214,2.1791654,4.964,-0.18186378,-0.6248104,-0.15366094
4.984,3.9442616,-2.4652574,1.8704798,4.975,0.020536285,-0.6205494,0.09774126
4.994,5.2268906,-4.671879,-1.1617805,4.983,0.14517212,-0.57048196,0.375775
5.003,6.528639,-5.3378334,-5.3288655,4.993,0.16221634,-0.3893871,0.68470144
5.013,7.681546,-3.8714132,-6.840061,5.003,0.18245634,-0.122005954,0.9201247
5.023,7.2799997,-1.4311439,-4.0657964,5.013,0.42320588,0.04737094,0.9851058
5.033,5.559284,0.49099156,-2.4303117,5.022,0.77474284,-0.16568176,1.0650004
5.043,4.118614,1.2768719,-2.3084652,5.032,0.7534375,-0.30310076,1.2237247
