0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
8.592,4.089697,-0.18326324,-3.1250248,8.581,-0.26175854,-1.3609076,-0.9483475
8.602,2.6062965,-0.10204148,-4.8976784,8.593,-0.04657532,-1.0626338,-1.011198
8.612,1.0074606,-0.53787386,-4.7538223,8.601,-0.019943729,-0.3254713,-0.9483475
8.623,-1.0397243,-1.5219269,-3.5153391,8.613,-0.014617412,0.34138367,-0.8034717
8.635,-2.508523,-2.540266,-2.3681817,8.622,0.10575737,0.79731643,-0.5989411
8.642,-3.204032,-3.0908957,-1.5558577,8.637,0.34757218,1.0316744,-0.3826926
8.653,-3.4534016,-3.1435337,-0.96226823,8.641,0.67460805,1.0529797,-0.14513883
8.665,-3.4203959,-3.1649458,-0.7716484,8.654,0.9845997,0.9006469,0.13715601
8.674,-3.0693798,-3.2761374,-0.71739763,8.664,1.1806084,0.6748111,0.43542975
8.684,-2.4614382,-3.4338932,-0.7141097,8.673,1.2690252,0.4713458,0.7219857
